ALDEOTA,FORTALEZA
CAMBEBA,FORTALEZA
MEIRELES,FORTALEZA
1º DISTRITO INDUSTRIAL,MARACANAÚ
2º DISTRITO INDUSTRIAL,EUSÉBIO
FORTALEZA,FORTALEZA
ACARACUZINHO,MARACANAÚ
ACARAPE,FORTALEZA
ACARAU
ACARAUZINHO,MARACANAÚ
ACÊNIO CÂNDERAS,SÃO GONÇALO DO AMARANTE
AEROLÂNDIA,FORTALEZA
AEROPORTO,FORTALEZA
AFLITOS,RECIFE
AFONSO WALTER,SANTA QUITÉRIA
AGRONÔMICA,FLORIANÓPOLIS
ÁGUA FRIA
ALAGADIÇO,FORTALEZA
ALAGADIÇO NOVO,FORTALEZA
DIONÍSIO TORRES
ALECRIM,NATAL
ALTO ALEGRE,MARACANAÚ
ALTO DA ALEGRIA,BERBALHA
ALTO DA BALANÇA,FORTALEZA
ALTO DA BONITA,IGUATU
ALTO DA BRASÍLIA,SOBRAL
ALTO DA CHEIA,ARACATI
ALTO DA ESTRELA,PACAJUS
ALTO DAS PEDRAS,AQUIRAZ
ALTO DO ANGICO,FORTALEZA
ALTO DO BOQUEIRÃO,QUIXERAMOBIM
ALTO DO CRISTO,SOBRAL
ALTO DO JUCÁ,IGUATU
ALTO DO SÃO FRANCISCO,QUIXADÁ
ALTO DO VINTEM,SÃO GONÇALO DO AMARANTE
ALTO GUARAMIRANGA,CANINDÉ
ALTO SÃO FRANCISCO,QUIXADÁ
ALTO SÃO JOÃO,PACATUBA
ÁLVARO WEYNE,FORTALEZA
AMADEU FURTADO,FORTALEZA
AMADOR,AQUIRAZ
AMARELA,CAMOCIM
AMIGOS,CRUZ
ANCHIETA,FORTALEZA
ANCURÍ -MESSEJANA,FORTALEZA
ANCURÍ - MESSEJANA,FORTALEZA
ANTÔNIO SALES,FORTALEZA
ANTÔNIO BEZERRA,FORTALEZA
ANTÔNIO DIOGO,FORTALEZA
ANTÔNIO HOLANDA OLIVEIRA,LIMOEIRO DO NORTE
ANTÔNIO MIGUEL,ITAITINGA
ANTÔNIO SISNANDO,QUIXERAMOBIM
APRAZÍVEL,SOBRAL
AQUIRAZ,FORTALEZA
ARIANÓPOLIS,CAUCAIA
AREIAS,IGUATU
ARENÓPOLIS
